"","TimeStamp","Enlem(N)","Boylam(E)","Derinlik(km)","MD","ML","Mw","Yer","Çözüm Niteligi"
"43","2020.12.17 02:06:15","37.7665"," 27.0823","5.3","-.-","2.1","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"44","2020.12.17 01:52:40","37.8087"," 27.1688","5.3","-.-","1.6","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"45","2020.12.17 01:44:28","37.7808"," 27.1440","5.0","-.-","1.3","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"46","2020.12.17 01:43:24","37.7972"," 27.1508","3.0","-.-","1.3","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"47","2020.12.17 01:40:21","37.7597"," 27.0910","3.1","-.-","1.9","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"48","2020.12.17 01:38:40","37.7863"," 27.1580"," 15.3","-.-","1.6","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"49","2020.12.17 01:35:12","37.7770"," 27.0937","5.0","-.-","1.4","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"50","2020.12.17 01:32:18","37.7600"," 27.1797"," 11.2","-.-","1.4","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"51","2020.12.17 01:27:49","37.7285"," 27.1062"," 17.8","-.-","1.6","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"52","2020.12.17 01:25:01","37.7477"," 27.0948"," 13.1","-.-","2.7","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"53","2020.12.17 01:21:12","37.7368"," 27.0747","9.3","-.-","2.9","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
"54","2020.12.17 01:19:34","37.8120"," 27.2510","8.0","-.-","1.6","-.-"," KUSADASI KORFEZI (EGE DENIZI)"," Ilksel"
